Comunidades y Ciudades Autónomas;Situación sentimental;Tiene hijos;Intención de tener hijos;Total
07 Castilla y León;Pareja con la que convive;Total;Tiene intención de tener hijos;57.951
07 Castilla y León;Pareja con la que convive;Total;No tiene intención de tener hijos;257.891
07 Castilla y León;Pareja con la que convive;Sin hijos;Total;61.961
07 Castilla y León;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;24.406
07 Castilla y León;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;37.555
07 Castilla y León;Pareja con la que convive;Con hijos;Total;253.881
07 Castilla y León;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;33.545
07 Castilla y León;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;220.336
07 Castilla y León;Pareja con la que no convive;Total;Total;77.347
07 Castilla y León;Pareja con la que no convive;Total;Tiene intención de tener hijos;27.181
07 Castilla y León;Pareja con la que no convive;Total;No tiene intención de tener hijos;50.166
07 Castilla y León;Pareja con la que no convive;Sin hijos;Total;65.409
07 Castilla y León;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;24.762
07 Castilla y León;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;40.647
07 Castilla y León;Pareja con la que no convive;Con hijos;Total;11.938
07 Castilla y León;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
07 Castilla y León;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;9.518
08 Castilla - La Mancha;Total;Total;Total;508.634
08 Castilla - La Mancha;Total;Total;Tiene intención de tener hijos;98.233
08 Castilla - La Mancha;Total;Total;No tiene intención de tener hijos;410.401
08 Castilla - La Mancha;Total;Sin hijos;Total;193.423
08 Castilla - La Mancha;Total;Sin hijos;Tiene intención de tener hijos;61.354
08 Castilla - La Mancha;Total;Sin hijos;No tiene intención de tener hijos;132.068
08 Castilla - La Mancha;Total;Con hijos;Total;315.211
08 Castilla - La Mancha;Total;Con hijos;Tiene intención de tener hijos;36.879
08 Castilla - La Mancha;Total;Con hijos;No tiene intención de tener hijos;278.333
08 Castilla - La Mancha;Sin pareja;Total;Total;134.106
08 Castilla - La Mancha;Sin pareja;Total;Tiene intención de tener hijos;26.022
08 Castilla - La Mancha;Sin pareja;Total;No tiene intención de tener hijos;108.084
08 Castilla - La Mancha;Sin pareja;Sin hijos;Total;94.459
08 Castilla - La Mancha;Sin pareja;Sin hijos;Tiene intención de tener hijos;20.179
08 Castilla - La Mancha;Sin pareja;Sin hijos;No tiene intención de tener hijos;74.280
08 Castilla - La Mancha;Sin pareja;Con hijos;Total;39.647
08 Castilla - La Mancha;Sin pareja;Con hijos;Tiene intención de tener hijos;5.843
08 Castilla - La Mancha;Sin pareja;Con hijos;No tiene intención de tener hijos;33.804
08 Castilla - La Mancha;Pareja con la que convive;Total;Total;302.471
08 Castilla - La Mancha;Pareja con la que convive;Total;Tiene intención de tener hijos;49.699
08 Castilla - La Mancha;Pareja con la que convive;Total;No tiene intención de tener hijos;252.772
08 Castilla - La Mancha;Pareja con la que convive;Sin hijos;Total;38.889
08 Castilla - La Mancha;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;20.689
08 Castilla - La Mancha;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;18.200
08 Castilla - La Mancha;Pareja con la que convive;Con hijos;Total;263.581
08 Castilla - La Mancha;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;29.010
08 Castilla - La Mancha;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;234.571
08 Castilla - La Mancha;Pareja con la que no convive;Total;Total;72.057
08 Castilla - La Mancha;Pareja con la que no convive;Total;Tiene intención de tener hijos;22.512
08 Castilla - La Mancha;Pareja con la que no convive;Total;No tiene intención de tener hijos;49.545
08 Castilla - La Mancha;Pareja con la que no convive;Sin hijos;Total;60.074
08 Castilla - La Mancha;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;20.486
08 Castilla - La Mancha;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;39.588
08 Castilla - La Mancha;Pareja con la que no convive;Con hijos;Total;11.983
08 Castilla - La Mancha;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;2.026
08 Castilla - La Mancha;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;9.957
09 Cataluña;Total;Total;Total;1.916.659
09 Cataluña;Total;Total;Tiene intención de tener hijos;397.800
09 Cataluña;Total;Total;No tiene intención de tener hijos;1.518.859
09 Cataluña;Total;Sin hijos;Total;771.324
09 Cataluña;Total;Sin hijos;Tiene intención de tener hijos;254.462
09 Cataluña;Total;Sin hijos;No tiene intención de tener hijos;516.862
09 Cataluña;Total;Con hijos;Total;1.145.335
09 Cataluña;Total;Con hijos;Tiene intención de tener hijos;143.338
09 Cataluña;Total;Con hijos;No tiene intención de tener hijos;1.001.998
09 Cataluña;Sin pareja;Total;Total;524.068
09 Cataluña;Sin pareja;Total;Tiene intención de tener hijos;73.662
09 Cataluña;Sin pareja;Total;No tiene intención de tener hijos;450.407
09 Cataluña;Sin pareja;Sin hijos;Total;367.998
09 Cataluña;Sin pareja;Sin hijos;Tiene intención de tener hijos;72.172
09 Cataluña;Sin pareja;Sin hijos;No tiene intención de tener hijos;295.826
09 Cataluña;Sin pareja;Con hijos;Total;156.070
09 Cataluña;Sin pareja;Con hijos;Tiene intención de tener hijos;.
09 Cataluña;Sin pareja;Con hijos;No tiene intención de tener hijos;154.581
09 Cataluña;Pareja con la que convive;Total;Total;1.188.418
09 Cataluña;Pareja con la que convive;Total;Tiene intención de tener hijos;262.811
09 Cataluña;Pareja con la que convive;Total;No tiene intención de tener hijos;925.607
09 Cataluña;Pareja con la que convive;Sin hijos;Total;238.072
09 Cataluña;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;128.789
09 Cataluña;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;109.283
09 Cataluña;Pareja con la que convive;Con hijos;Total;950.346
09 Cataluña;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;134.022
09 Cataluña;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;816.324
09 Cataluña;Pareja con la que no convive;Total;Total;204.172
09 Cataluña;Pareja con la que no convive;Total;Tiene intención de tener hijos;61.327
09 Cataluña;Pareja con la que no convive;Total;No tiene intención de tener hijos;142.845
09 Cataluña;Pareja con la que no convive;Sin hijos;Total;165.254
09 Cataluña;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;53.501
09 Cataluña;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;111.752
09 Cataluña;Pareja con la que no convive;Con hijos;Total;38.919
09 Cataluña;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;7.826
09 Cataluña;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;31.093
10 Comunitat Valenciana;Total;Total;Total;1.250.794
10 Comunitat Valenciana;Total;Total;Tiene intención de tener hijos;243.530
10 Comunitat Valenciana;Total;Total;No tiene intención de tener hijos;1.007.264
10 Comunitat Valenciana;Total;Sin hijos;Total;475.961
10 Comunitat Valenciana;Total;Sin hijos;Tiene intención de tener hijos;147.511
10 Comunitat Valenciana;Total;Sin hijos;No tiene intención de tener hijos;328.449
10 Comunitat Valenciana;Total;Con hijos;Total;774.833
10 Comunitat Valenciana;Total;Con hijos;Tiene intención de tener hijos;96.019
10 Comunitat Valenciana;Total;Con hijos;No tiene intención de tener hijos;678.814
10 Comunitat Valenciana;Sin pareja;Total;Total;286.005
