Edifici,Estat,id,X_ETRS89,Any_Auditoria,Punt_Recarrega_Public,Bicing_(<100m),Data_Distintiu,Places_Public_Interior,Nom_Via,Longitud,Inflador_Public,Y_ETRS89,Codi_Barri,Latitud,Codi_Districte,Punt_Autoreparacio_Public,Places_Public_Exterior_<25m,Nom_Districte,Numero_Via,Nom_Barri,_id,Places_Exclusiu_Personal
La Lleialtat Santsenca,Edifici Amic de la Bici,44,427799.752,2021,Sí,No,Maig 2023,8,Carrer d'Olzinelles,2.1366,No,4580514.091,18,41.3729,3,No,10,Sants-Montjuic,31,Sants,44,2
LASPB Edifici Peracamps,Edifici Amic de la Bici,45,430905.286,2021,No,Sí,Març 2021,7,Avinguda Drassanes,2.1737,No,4580846.128,1,41.3761,1,No,20,Ciutat Vella,13,el Raval,45,0
Institut Municipal d'Urbanisme,Edifici Amic de la Bici,46,433317.9,2021,SÍ,Sí,Gener 2022,43,Carrer de Bolívia,2.2021,No,4584680.8,71,41.4109,10,No,20,Sant Martí,250,Provençals del Poblenou,46,0
Centre Cívic Pere Quart,Edifici en procés de millora,47,427064.61,2021,No,No,,0,Carrer del Comandant Benítez,2.1277,No,4581229.65,20,41.3792,4,No,12,Les Corts,6,la Maternitat i Sant Ramon,47,0
Centre cívic Cristalleries Planell,Edifici en procés de millora,48,427414.27,2021,No,Sí,,0,Carrer del Dr. Ibáñez,2.1318,No,4582133.27,20,41.3874,4,No,24,Les Corts,38,Les Corts,48,0
Seu del Districte de Sarrià - Sant Gervasi,Edifici en procés de millora,49,426555.78,2022,No,Sí,,0,Plaça del Consell de la Vila,2.1213,No,4583430.114,23,41.3991,5,No,10,Sarrià - Sant Gervasi,7,Sarrià,49,0
Institut Municipal de Serveis Socials,Edifici en procés de millora,50,430558.06,2022,No,Sí,,4,Carrer València,-75937,No,4583171.78,7,41.3971,2,No,20,Eixample,344,la Dreta de l'Eixample,50,0
Institut Municipal de Mercats,Edifici en procés de millora,51,432277.67,2022,No,No,,0,Carrer Gran de Sant Andreu,2.1896,No,4587188.78,60,41.4335,9,No,0,Sant Andreu,200,Sant Andreu,51,0
Institut Municipal de l'Habitatge i Rehabilitació,Edifici en procés de millora,52,432218.44,2022,No,No,,0,Carrer del Dr. Aiguader,2.1892,No,4581636.72,3,41.3833,1,No,0,Ciutat Vella,36,la Barceloneta,52,0
Biblioteca Montserrat Abellò,Edifici en procés de millora,53,427716.57,2022,No,No,,0,Carrer dels Comtes de Bell-Lloc,2.1354,No,4581697.58,19,41.3837,4,No,8,Les Corts,192,les Corts,53,0
Biblioteca Miquel Llongueras,Edifici en procés de millora,54,426559.89,2022,No,No,,0,Travessera de les Corts,2.1217,No,4581077.12,20,41.3779,4,No,18,Les Corts,58,la Maternitat i Sant Ramon,54,0
Centre Cívic Trias i Peitx,Edifici en procés de millora,55,426564.63,2022,No,No,,0,Carrer de la Riera Blanca,2.1218,No,4581066.3,20,41.3777,4,No,18,Les Corts,1,la Maternitat i Sant Ramon,55,0
Seu del Districte de Sant Martí,Edifici Amic de la Bici,56,432466.96,2022,No,Sí,Novembre 2022,6,Plaça de Valentí Almirall,2.192,No,4584465.06,65,41408895,10,No,18,Sant Martí,1,el Clot,56,0
Seu del Districte de l'Eixample,Edifici en procés de millora,57,430495.96,2022,No,Sí,,0,Carrer d'Aragó,2.1686,No,4582966.09,7,41.3952,7,No,12,Eixample,314,la Dreta de l'Eixample,57,0
Castell de Montjuïc,Edifici Amic de la Bici,58,430342.29,2022,No,No,Gener 2023,20,Carretera de Montjuïc,2.1671,No,4579482.34,PM,41.3638,3,No,20,Sants - Montjuïc,66,Parc de Montjuïc,58,0
Seu de l'Agència de Salut Pública a Lesseps,Edifici Amic de la Bici,59,428993.15,2023,No,No,Abril 2023,10,Plaça de Lesseps,2.150461,No,4584167.95,31,41.405926,6,No,8,Gràcia,1,Vila de Gràcia,59,0
Seu del Districte de Ciutat Vella,Edifici en procés de millora,60,430551.88,2023,No,Sí,,4,Plaça Bonsuccés,2.192,Sí,4581703.87,1,41408896,1,No,0,Ciutat Vella,3,el Raval,60,0
Barcelona Activa - Ca n'Andalet,Edifici Amic de la Bici,61,429290.53,2023,No,Sí,Desembre 2023,0,Passatge Andalet,2.1686,No,4586523.59,34,41.3952,7,No,10,Horta-Guinardó,11,el Carmel,61,0
Barcelona Activa - El Convent,Edifici Amic de la Bici,62,431592.573,2019,No,Sí,Març 2024,12,Plaça de Pons i Clerch,2.1671,No,4582025.767,4,41.3638,1,No,32,Ciutat Vella,2,"Sant Pere, Santa Caterina i la Ribera",62,0
ICUB - Museu Etnològic - Seu Montcada,Edifici Amic de la Bici,63,431514.2704,2024,No,No,Juny 2024,6,Carrer de Montcada,2.150461,No,4581822.2973,4,41.405926,1,No,76,Ciutat Vella,12,"Sant Pere, Santa Caterina i la Ribera",63,3
Fabra i Coats Fàbrica de creació i Centre d'Art Contemporani,Edifici en procés de millora,64,432463.16,2024,No,Sí,,0,Carrer de Sant Adrià,2.1063,No,4587233.34,60,41.556557,9,No,16,Sant Andreu,20,Sant Andreu,64,0
