Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Ambas nacionalidades;Cuarto y más;2024;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2023;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2022;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2021;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2020;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2019;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2018;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2017;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2016;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2015;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2014;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2013;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2012;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2011;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2010;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2009;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2008;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;2007;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2006;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2005;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2004;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2003;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2002;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2001;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;2000;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;1999;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;1998;0,03
Total Nacional;Ambas nacionalidades;Cuarto y más;1997;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;1996;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;1995;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;1994;0,04
Total Nacional;Ambas nacionalidades;Cuarto y más;1993;0,05
Total Nacional;Ambas nacionalidades;Cuarto y más;1992;0,06
Total Nacional;Ambas nacionalidades;Cuarto y más;1991;0,06
Total Nacional;Ambas nacionalidades;Cuarto y más;1990;0,07
Total Nacional;Ambas nacionalidades;Cuarto y más;1989;0,08
Total Nacional;Ambas nacionalidades;Cuarto y más;1988;0,1
Total Nacional;Ambas nacionalidades;Cuarto y más;1987;0,11
Total Nacional;Ambas nacionalidades;Cuarto y más;1986;0,13
Total Nacional;Ambas nacionalidades;Cuarto y más;1985;0,16
Total Nacional;Ambas nacionalidades;Cuarto y más;1984;0,18
Total Nacional;Ambas nacionalidades;Cuarto y más;1983;0,2
Total Nacional;Ambas nacionalidades;Cuarto y más;1982;0,23
Total Nacional;Ambas nacionalidades;Cuarto y más;1981;0,24
Total Nacional;Ambas nacionalidades;Cuarto y más;1980;0,28
